Title,status,frequency,tags,link
Find Peak Element,TO_DO,84.9,Array; Binary Search,https://leetcode.com/problems/find-peak-element/
Robot Room Cleaner,TO_DO,84.8,Backtracking; Interactive,https://leetcode.com/problems/robot-room-cleaner/
Container With Most Water,SOLVED,84.5,Array; Two Pointers; Greedy,https://leetcode.com/problems/container-with-most-water/
Design Hit Counter,TO_DO,84.4,Array; Binary Search; Design; Queue; Data Stream,https://leetcode.com/problems/design-hit-counter/
Design In-Memory File System,TO_DO,84.1,Hash Table; String; Design; Trie; Sorting,https://leetcode.com/problems/design-in-memory-file-system/
Interval List Intersections,SOLVED,83.7,Array; Two Pointers; Line Sweep,https://leetcode.com/problems/interval-list-intersections/
Spiral Matrix,TO_DO,83.5,Array; Matrix; Simulation,https://leetcode.com/problems/spiral-matrix/
Roman to Integer,TO_DO,83.5,Hash Table; Math; String,https://leetcode.com/problems/roman-to-integer/
Lowest Common Ancestor of a Binary Tree,SOLVED,83.3,Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
Next Permutation,ATTEMPTED,83.3,Array; Two Pointers,https://leetcode.com/problems/next-permutation/
Simplify Path,SOLVED,83.2,String; Stack,https://leetcode.com/problems/simplify-path/
Logger Rate Limiter,TO_DO,83,Hash Table; Design; Data Stream,https://leetcode.com/problems/logger-rate-limiter/
Maximum Subarray,SOLVED,82.9,Array; Divide and Conquer; Dynamic Programming,https://leetcode.com/problems/maximum-subarray/
House Robber IV,TO_DO,82.8,Array; Binary Search; Dynamic Programming; Greedy,https://leetcode.com/problems/house-robber-iv/
Koko Eating Bananas,TO_DO,82.5,Array; Binary Search,https://leetcode.com/problems/koko-eating-bananas/
Find the Punishment Number of an Integer,TO_DO,82.3,Math; Backtracking,https://leetcode.com/problems/find-the-punishment-number-of-an-integer/
Serialize and Deserialize N-ary Tree,TO_DO,82.1,String; Tree; Depth-First Search; Breadth-First Search,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree/
Climbing Stairs,SOLVED,82,Math; Dynamic Programming; Memoization,https://leetcode.com/problems/climbing-stairs/
Check if Number is a Sum of Powers of Three,TO_DO,82,Math,https://leetcode.com/problems/check-if-number-is-a-sum-of-powers-of-three/
Design Tic-Tac-Toe,TO_DO,81.9,Array; Hash Table; Design; Matrix; Simulation,https://leetcode.com/problems/design-tic-tac-toe/
Alien Dictionary,TO_DO,81.9,Array; String; Depth-First Search; Breadth-First Search; Graph; Topological Sort,https://leetcode.com/problems/alien-dictionary/
Rotate Image,TO_DO,81.8,Array; Math; Matrix,https://leetcode.com/problems/rotate-image/
Find the Prefix Common Array of Two Arrays,TO_DO,81.7,Array; Hash Table; Bit Manipulation,https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays/
Basic Calculator,TO_DO,81.7,Math; String; Stack; Recursion,https://leetcode.com/problems/basic-calculator/
Reverse Integer,ATTEMPTED,81.6,Math,https://leetcode.com/problems/reverse-integer/
Basic Calculator III,TO_DO,81.6,Math; String; Stack; Recursion,https://leetcode.com/problems/basic-calculator-iii/
Custom Sort String,SOLVED,81.5,Hash Table; String; Sorting,https://leetcode.com/problems/custom-sort-string/
Bus Routes,TO_DO,81.3,Array; Hash Table; Breadth-First Search,https://leetcode.com/problems/bus-routes/
Count Total Number of Colored Cells,TO_DO,81.3,Math,https://leetcode.com/problems/count-total-number-of-colored-cells/
Count the Hidden Sequences,TO_DO,81.1,Array; Prefix Sum,https://leetcode.com/problems/count-the-hidden-sequences/
Count Servers that Communicate,TO_DO,81,Array; Depth-First Search; Breadth-First Search; Union Find; Matrix; Counting,https://leetcode.com/problems/count-servers-that-communicate/
Longest Nice Subarray,TO_DO,80.9,Array; Bit Manipulation; Sliding Window,https://leetcode.com/problems/longest-nice-subarray/
Zero Array Transformation II,TO_DO,80.8,Array; Binary Search; Prefix Sum,https://leetcode.com/problems/zero-array-transformation-ii/
Check if a Parentheses String Can Be Valid,SOLVED,80.8,String; Stack; Greedy,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid/
Longest Consecutive Sequence,ATTEMPTED,80.7,Array; Hash Table; Union Find,https://leetcode.com/problems/longest-consecutive-sequence/
Majority Element,TO_DO,80.3,Array; Hash Table; Divide and Conquer; Sorting; Counting,https://leetcode.com/problems/majority-element/
"Pow(x, n)",SOLVED,80.3,Math; Recursion,https://leetcode.com/problems/powx-n/
Copy List with Random Pointer,SOLVED,80.2,Hash Table; Linked List,https://leetcode.com/problems/copy-list-with-random-pointer/
Decode String,SOLVED,80.2,String; Stack; Recursion,https://leetcode.com/problems/decode-string/
Shortest Path in Binary Matrix,SOLVED,80.1,Array; Breadth-First Search; Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix/
Rotating the Box,TO_DO,80.1,Array; Two Pointers; Matrix,https://leetcode.com/problems/rotating-the-box/
Merge Two Sorted Lists,TO_DO,80,Linked List; Recursion,https://leetcode.com/problems/merge-two-sorted-lists/
Shortest Distance from All Buildings,TO_DO,80,Array; Breadth-First Search; Matrix,https://leetcode.com/problems/shortest-distance-from-all-buildings/
Time Based Key-Value Store,TO_DO,79.9,Hash Table; String; Binary Search; Design,https://leetcode.com/problems/time-based-key-value-store/
Collect Coins in a Tree,TO_DO,79.9,Array; Tree; Graph; Topological Sort,https://leetcode.com/problems/collect-coins-in-a-tree/
Maximum Profit in Job Scheduling,TO_DO,79.6,Array; Binary Search; Dynamic Programming; Sorting,https://leetcode.com/problems/maximum-profit-in-job-scheduling/
Letter Tile Possibilities,TO_DO,79.6,Hash Table; String; Backtracking; Counting,https://leetcode.com/problems/letter-tile-possibilities/
Word Ladder,SOLVED,79.5,Hash Table; String; Breadth-First Search,https://leetcode.com/problems/word-ladder/
Candy,TO_DO,79.5,Array; Greedy,https://leetcode.com/problems/candy/
Find the Count of Good Integers,TO_DO,79.5,Hash Table; Math; Combinatorics; Enumeration,https://leetcode.com/problems/find-the-count-of-good-integers/
Identify the Largest Outlier in an Array,TO_DO,79.3,Array; Hash Table; Counting; Enumeration,https://leetcode.com/problems/identify-the-largest-outlier-in-an-array/
Bitwise XOR of All Pairings,TO_DO,79.3,Array; Bit Manipulation; Brainteaser,https://leetcode.com/problems/bitwise-xor-of-all-pairings/
Integer to English Words,TO_DO,79.3,Math; String; Recursion,https://leetcode.com/problems/integer-to-english-words/
