name,link,status
Merge Two Sorted Lists || Leetcode 21 || 2 Variant Questions Big Tech Actually Asks,https://www.youtube.com/watch?v=UHP_gKoh7G0,Not Started
Best Time to Buy and Sell Stock || Leetcode 121 || 1 Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=1zfHUTVli4Q,Not Started
Remove All Adjacent Duplicates In String || Leetcode 1047 || 1 Variant Question Big Tech Asks,https://www.youtube.com/watch?v=wdKnnXw9cfU,Not Started
Find Peak Element || Leetcode 162 || 1 Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=rVoaKjEb89I,Not Started
Merge Intervals || Leetcode 56 || 1 Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=NBGgDle-R6E,Not Started
Max Consecutive Ones 3 || Leetcode 1004 || 2 Variant Questions Big Tech Actually Asks,https://www.youtube.com/watch?v=vQBybrutCCY,Not Started
Moving Average from Data Stream || Leetcode 346 || 1 Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=aPD763eOAJ0,Not Started
Valid Palindrome 2 || Leetcode 680,https://www.youtube.com/watch?v=crgp96qS7No,Not Started
Valid Palindrome || Leetcode 125 || 1 Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=b-usJpcMOVY,Not Started
Buildings With an Ocean View || Leetcode 1762 || 2 Variant Questions Big Tech Actually Asks,https://www.youtube.com/watch?v=tbkzCFlKNWU,Not Started
Dot Product of Two Sparse Vectors || Leetcode 1570 || 1 Follow-up Question Big Tech Actually Asks,https://www.youtube.com/watch?v=ktUf2dMtoV4,Not Started
Merge Sorted Array || Leetcode 88 || 1 Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=7m-ABFXT9mU,Not Started
Random Pick Weight || Leetcode 528 || 1 Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=cw826XIOZIg,Not Started
Lowest Common Ancestor of a Binary Tree 3 || Leetcode 1650 || 2 Variant Questions Big Tech Asks,https://www.youtube.com/watch?v=iaOceNnKIQQ,Not Started
Binary Tree Right Side View || Leetcode 199 || 2 Variant Questions Big Tech Actually Asks,https://www.youtube.com/watch?v=6-hmuwCoi6g,Not Started
Move Zeroes || Leetcode 283 || 1 Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=F6mWUALRTcE,Not Started
Range Sum of BST || Leetcode 938 || 2 Variant Questions Big Tech Actually Asks,https://www.youtube.com/watch?v=dNulwIl2gCI,Not Started
Simplify Path || Leetcode 71 || 1 Variant Question Big Tech Actually Asks,https://www.youtube.com/watch?v=AFVN1As_tqc,Not Started
Minimum Remove to Make Valid Parentheses || Leetcode 1249 || 2 Variant Questions Big Tech Asks,https://www.youtube.com/watch?v=5YMKRfFnLEA,Not Started
[Private video],https://www.youtube.com/watch?v=ra9Systfy8w,Not Started
